name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews,bad_data,
Daniel arap Moi,Sacho,Kenya,1924,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,647326,3384.591249,440655,17034.89474,,
Friedrich Hölderlin,Lauffen am Neckar,GERMANY,1770,Male,WRITER,LANGUAGE,HUMANITIES,1854043,5593.702929,331594,40305.28261,,
Janez Drnovšek,Celje,SLOVENIA,1950,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,470529,6396.105438,148274,10011.25532,,
Pascal Couchepin,Martigny,SWITZERLAND,1942,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,357747,3076.361963,90449,12776.67857,,
Louis Blériot,Cambrai,France,1872,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,1006013,4900.101823,306805,31437.90625,,
Lauryn Hill,East Orange,United States,1975,Female,MUSICIAN,MUSIC,ARTS,11182058,36087.33049,7931585,414150.2963,,
Harvey Keitel,New York,UNITED STATES,1939,Male,ACTOR,FILM AND THEATRE,ARTS,7483932,27985.36846,4209093,191895.6923,,
Katherine Mansfield,Wellington,NEW ZEALAND,1888,Female,WRITER,LANGUAGE,HUMANITIES,1693383,20584.62964,1150460,58392.51724,,
Charles II of Spain,Madrid,Spain,1661,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,4122501,16294.64302,1839379,82450.02,,
Louis of Spain,Madrid,Spain,1707,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,632021,2570.827798,149736,17556.13889,,
Glenda Jackson,Birkenhead,UNITED KINGDOM,1936,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,1139473,10572.17806,812932,29986.13158,,
Ken Russell,Southampton,UNITED KINGDOM,1927,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,1367101,25618.59475,825487,52580.80769,,
Hongwu Emperor,Fengyang County,China,1328,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,7641872,399603.6805,623497,246512,,
Aamir Khan,Mumbai,India,1965,Male,ACTOR,FILM AND THEATRE,ARTS,16222082,116026.3021,13743740,368683.6818,,
Carol Reed,Putney,United Kingdom,1906,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,659050,2052.524671,357553,25348.07692,,
Theobald von Bethmann-Hollweg,Hohenfinow,GERMANY,1856,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,554512,2818.524545,126238,17887.48387,,
Eurico Gaspar Dutra,Cuiabá,BRAZIL,1883,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,657041,4457.293158,59642,24334.85185,,
Danny Elfman,Los Angeles,UNITED STATES,1953,Male,COMPOSER,MUSIC,ARTS,6249137,14210.85359,4216752,168895.5946,,
Karl Haushofer,Munich,Germany,1869,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,786209,2111.263371,233221,25361.58065,,
Larry Wall,Los Angeles,UNITED STATES,1954,Male,COMPUTER SCIENTIST,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,775575,1657.854042,453499,26743.96552,,
Teófilo Stevenson,Puerto Padre,Cuba,1952,Male,BOXER,INDIVIDUAL SPORTS,SPORTS,671068,16499.11966,316931,20335.39394,,
Daryl Hannah,Chicago,UNITED STATES,1960,Female,ACTOR,FILM AND THEATRE,ARTS,7595872,31499.19427,4728167,217024.9143,,
John Bonham,Redditch,UNITED KINGDOM,1948,Male,MUSICIAN,MUSIC,ARTS,8533663,29903.36069,4860640,198457.2791,,
Mario Vargas Llosa,Arequipa,PERU,1936,Male,WRITER,LANGUAGE,HUMANITIES,10496394,184990.8955,1714615,138110.4474,,
Ricky Gervais,Reading,UNITED KINGDOM,1961,Male,ACTOR,FILM AND THEATRE,ARTS,9305205,71829.56359,7998365,320869.1379,,
Heinrich Mann,Lübeck,Germany,1871,Male,WRITER,LANGUAGE,HUMANITIES,1115229,3102.57037,157151,28595.61538,,
Rafael Trujillo,San Cristóbal,Dominican Republic,1891,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,4444179,23002.05683,1761793,113953.3077,,
Mwai Kibaki,Gatuyaini,KENYA,1931,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1151240,9474.300739,746525,24494.46809,,
Julie Christie,Chabua,India,1941,Female,ACTOR,FILM AND THEATRE,ARTS,4358746,19933.46396,2692121,96861.02222,,
Hank Williams,Mount Olive,UNITED STATES,1923,Male,SINGER,MUSIC,ARTS,5152868,21380.26191,4298170,151554.9412,,
François Mauriac,Bordeaux,FRANCE,1885,Male,WRITER,LANGUAGE,HUMANITIES,1385395,4791.348441,197197,22711.39344,,
Andrei Tupolev,Kimry,Russia,1888,Male,ENGINEER,ENGINEERING,SCIENCE & TECHNOLOGY,436922,2083.967166,119217,13653.8125,,
Michael Gambon,Dublin,Ireland,1940,Male,ACTOR,FILM AND THEATRE,ARTS,9500529,76936.43877,5454275,279427.3235,,
John Hume,Derry,UNITED KINGDOM,1937,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,585083,2148.341419,302717,15396.92105,,
Georg Solti,Budapest,HUNGARY,1912,Male,CONDUCTOR,MUSIC,ARTS,1091980,8361.516824,626186,41999.23077,,
Joseph Addison,Milston,United Kingdom,1672,Male,WRITER,LANGUAGE,HUMANITIES,697622,1780.275311,448914,19932.05714,,
Aldus Manutius,Bassiano,Italy,1450,Male,DESIGNER,DESIGN,ARTS,618521,2174.227703,253711,20617.36667,,
Joachim du Bellay,Liré,France,1525,Male,WRITER,LANGUAGE,HUMANITIES,491891,6559.798854,119867,15867.45161,,
Tommaso Campanella,Stilo,ITALY,1568,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,1062628,3895.057007,150917,26565.7,,
Clément Marot,Cahors,France,1496,Male,WRITER,LANGUAGE,HUMANITIES,480223,1800.201852,67906,16559.41379,,
Henry James,New York,UNITED STATES,1843,Male,WRITER,LANGUAGE,HUMANITIES,4273354,8548.960181,2589204,87211.30612,,
Elijah Wood,Cedar Rapids,UNITED STATES,1981,Male,ACTOR,FILM AND THEATRE,ARTS,16049933,98968.89673,8916338,308652.5577,,
Gustave Le Bon,Nogent-le-Rotrou,France,1841,Male,PSYCHOLOGIST,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,1079552,4671.516674,324745,37225.93103,,
Abdullah II of Jordan,Amman,Jordan,1962,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,4396544,26529.94642,3016338,78509.71429,,
Walther Rathenau,Berlin,Germany,1867,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,912720,3927.068839,199313,33804.44444,,
