name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews
Isaac Asimov,Petrovichi,Russia,1920,Male,WRITER,LANGUAGE,HUMANITIES,12760596,36872.49566,5710465,143377.4831
Christina Applegate,Los Angeles,UNITED STATES,1971,Female,ACTOR,FILM AND THEATRE,ARTS,12753780,53749.11446,8332142,311067.8049
Pharrell Williams,Virginia Beach,United States,1973,Male,SINGER,MUSIC,ARTS,12748032,172214.0473,8663403,490308.9231
Zodiac Killer,Other,Unknown,1940,Male,EXTREMIST,OUTLAWS,PUBLIC FIGURE,12724796,48300.76107,8551101,438786.069
Val Kilmer,Los Angeles,UNITED STATES,1959,Male,ACTOR,FILM AND THEATRE,ARTS,12712555,42299.73475,8005540,334540.9211
Carlos Santana,Autlán,MEXICO,1947,Male,MUSICIAN,MUSIC,ARTS,12677169,33518.44752,6427484,248571.9412
Alexis Bledel,Houston,UNITED STATES,1981,Female,ACTOR,FILM AND THEATRE,ARTS,12673381,50902.05286,6922185,342523.8108
Paul Wesley,New Brunswick,UNITED STATES,1982,Male,ACTOR,FILM AND THEATRE,ARTS,12651817,123433.0925,6331007,408123.129
Cyndi Lauper,New York,UNITED STATES,1953,Female,MUSICIAN,MUSIC,ARTS,12634307,51884.5723,6964805,308153.8293
Iggy Pop,Muskegon,UNITED STATES,1947,Male,MUSICIAN,MUSIC,ARTS,12630738,50661.3734,6542154,293738.093
Daddy Yankee,San Juan,Puerto Rico,1977,Male,SINGER,MUSIC,ARTS,12615904,60750.05061,4143876,420530.1333
Leonard Cohen,Montreal,Canada,1934,Male,WRITER,LANGUAGE,HUMANITIES,12612448,40119.18997,6664475,225222.2857
Nikki Reed,Los Angeles,United States,1988,Female,ACTOR,FILM AND THEATRE,ARTS,12597933,86553.50982,7522677,466590.1111
Frank Lampard,Romford,United Kingdom,1978,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,12591500,75664.5753,7263439,185169.1176
Jeremy Clarkson,Doncaster,United Kingdom,1960,Male,JOURNALIST,LANGUAGE,HUMANITIES,12590498,45350.50001,10144096,370308.7647
Rupert Murdoch,Melbourne,Australia,1931,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,12578393,273546.8315,9563167,246635.1569
Carl Sagan,New York,UNITED STATES,1934,Male,ASTRONOMER,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,12577599,62489.50851,8142494,199644.4286
George Michael,East Finchley,United Kingdom,1963,Male,SINGER,MUSIC,ARTS,12576783,78752.10988,6604320,246603.5882
Lou Reed,New York,UNITED STATES,1942,Male,MUSICIAN,MUSIC,ARTS,12574622,258519.7684,7468452,306698.0976
Cesc Fàbregas,Arenys de Mar,SPAIN,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,12524853,116775.0665,6459408,181519.6087
Eva Braun,Munich,Germany,1912,Female,COMPANION,COMPANIONS,PUBLIC FIGURE,12507571,44105.65199,6683027,198532.873
Alanis Morissette,Ottawa,CANADA,1974,Female,SINGER,MUSIC,ARTS,12497345,47008.94053,7541557,231432.3148
Ronnie James Dio,Portsmouth,United States,1942,Male,MUSICIAN,MUSIC,ARTS,12494580,306534.3038,6284937,297490
Norah Jones,New York,UNITED STATES,1979,Female,MUSICIAN,MUSIC,ARTS,12479319,121659.3597,7555385,259985.8125
Eazy-E,Los Angeles,UNITED STATES,1963,Male,SINGER,MUSIC,ARTS,12478406,54735.55607,8662503,402529.2258
Ayumi Hamasaki,Fukuoka,JAPAN,1978,Female,SINGER,MUSIC,ARTS,12474432,56561.81691,3615559,304254.439
Anna Nicole Smith,Harris County,UNITED STATES,1967,Female,CELEBRITY,MEDIA PERSONALITY,PUBLIC FIGURE,12468167,57878.15197,7556375,283367.4318
Sigourney Weaver,New York,UNITED STATES,1949,Female,ACTOR,FILM AND THEATRE,ARTS,12439442,81076.91116,7182191,230360.037
Paul Rudd,Passaic,UNITED STATES,1969,Male,ACTOR,FILM AND THEATRE,ARTS,12438992,65735.27973,9901720,428930.7586
Ron Paul,Pittsburgh,UNITED STATES,1935,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,12438976,189893.3245,10508100,210830.1017
Julie Andrews,Walton-on-Thames,UNITED KINGDOM,1935,Female,ACTOR,FILM AND THEATRE,ARTS,12423025,81115.86996,8382445,225873.1818
Jeff Buckley,Los Angeles,UNITED STATES,1966,Male,MUSICIAN,MUSIC,ARTS,12418051,43713.28014,6944818,365236.7941
Kiefer Sutherland,London,UNITED KINGDOM,1966,Male,ACTOR,FILM AND THEATRE,ARTS,12398973,40830.78257,7464666,258311.9375
Bud Spencer,Naples,Italy,1929,Male,ACTOR,FILM AND THEATRE,ARTS,12397601,54729.57051,1563169,387425.0313
Bono,Dublin,IRELAND,1960,Male,MUSICIAN,MUSIC,ARTS,12372597,36889.64922,8320241,233445.2264
Vince McMahon,Pinehurst,UNITED STATES,1945,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,12351289,46058.1172,9049690,363273.2059
Woody Harrelson,Midland,United States,1961,Male,ACTOR,FILM AND THEATRE,ARTS,12330592,81336.29576,8199595,333259.2432
Christopher Reeve,New York,UNITED STATES,1952,Male,ACTOR,FILM AND THEATRE,ARTS,12327976,79818.80712,7547015,267999.4783
Avicii,Stockholm,SWEDEN,1989,Male,MUSICIAN,MUSIC,ARTS,12321754,238625.0106,6820299,456361.2593
Ellie Goulding,Lyonshall,UNITED KINGDOM,1986,Female,MUSICIAN,MUSIC,ARTS,12314146,179293.1083,8847237,456079.4815
Portia de Rossi,Horsham,AUSTRALIA,1973,Female,ACTOR,FILM AND THEATRE,ARTS,12302051,85938.95684,9847472,455631.5185
Roman Abramovich,Saratov,Russia,1966,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,12300824,79050.87234,6934364,261719.6596
Steve Buscemi,New York,UNITED STATES,1957,Male,ACTOR,FILM AND THEATRE,ARTS,12290114,70177.36097,7689266,273113.6444
Tera Patrick,Great Falls,UNITED STATES,1976,Female,PORNOGRAPHIC ACTOR,MEDIA PERSONALITY,PUBLIC FIGURE,12285829,34227.05729,8016024,372297.8485
Terry Crews,Flint,UNITED STATES,1968,Male,ACTOR,FILM AND THEATRE,ARTS,12283508,108946.0712,8339068,396242.1935
Oscar Gutierrez,San Diego,UNITED STATES,1974,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,12262984,72676.47494,4235983,299097.1707
Kurt Russell,Springfield,UNITED STATES,1951,Male,ACTOR,FILM AND THEATRE,ARTS,12257857,49651.60689,7503199,255372.0208
Gotye,Bruges,BELGIUM,1980,Male,MUSICIAN,MUSIC,ARTS,12252774,336422.7396,8280979,395250.7742
Bam Margera,West Chester,United States,1979,Male,SKATER,INDIVIDUAL SPORTS,SPORTS,12236577,103214.2333,8952054,453206.5556
Busta Rhymes,New York,United States,1972,Male,SINGER,MUSIC,ARTS,12227248,37314.41196,9058364,359624.9412
Hrithik Roshan,Mumbai,India,1974,Male,ACTOR,FILM AND THEATRE,ARTS,12212662,76588.40847,10326153,359195.9412
Wesley Sneijder,Utrecht,NETHERLANDS,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,12192831,168117.8892,4199815,210221.2241
Nicholas Hoult,Wokingham,UNITED KINGDOM,1989,Male,ACTOR,FILM AND THEATRE,ARTS,12156588,165402.1408,7702093,434163.8571
Sharon Tate,Dallas,UNITED STATES,1943,Female,ACTOR,FILM AND THEATRE,ARTS,12151201,64031.76471,6573944,405040.0333
Bella Thorne,Pembroke Pines,UNITED STATES,1997,Female,ACTOR,FILM AND THEATRE,ARTS,12150895,163761.0351,6173092,379715.4688
Andrés Iniesta,Fuentealbilla,SPAIN,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,12143288,127209.1208,4132883,175989.6812
Mr. T,Chicago,UNITED STATES,1952,Male,ACTOR,FILM AND THEATRE,ARTS,12141407,51514.5484,7516166,418669.2069
Dalip Singh,Dhirana,India,1972,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,12133855,34796.99265,8102379,346681.5714
Cary Grant,Horfield,UNITED KINGDOM,1904,Male,ACTOR,FILM AND THEATRE,ARTS,12078262,51975.581,7821027,211899.3333
Susan Boyle,Blackburn,UNITED KINGDOM,1961,Female,SINGER,MUSIC,ARTS,12074857,204408.8438,7326881,201247.6167
Shania Twain,Windsor,CANADA,1965,Female,SINGER,MUSIC,ARTS,12064037,62329.59853,8159228,219346.1273
Josh Brolin,Los Angeles,UNITED STATES,1968,Male,ACTOR,FILM AND THEATRE,ARTS,12063618,71565.40157,8472252,430843.5
Linda Lovelace,New York,UNITED STATES,1949,Female,PORNOGRAPHIC ACTOR,MEDIA PERSONALITY,PUBLIC FIGURE,12059577,148482.7286,7933926,365441.7273
Maria Callas,New York,United States,1923,Female,SINGER,MUSIC,ARTS,12050478,500779.3177,5063518,211411.8947
Dennis Rodman,Trenton,UNITED STATES,1961,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,12050234,85862.50897,8333257,325682
Johnny Knoxville,Knoxville,UNITED STATES,1971,Male,ACTOR,FILM AND THEATRE,ARTS,12031341,90260.45195,7575204,429690.75
Eddie Vedder,Chicago,UNITED STATES,1964,Male,MUSICIAN,MUSIC,ARTS,12026210,48623.29219,7357191,364430.6061
Ciara,Austin,UNITED STATES,1985,Female,ACTOR,FILM AND THEATRE,ARTS,12020440,61469.58501,10125043,333901.1111
T-Pain,Tallahassee,UNITED STATES,1985,Male,SINGER,MUSIC,ARTS,12018033,57361.12252,9455748,375563.5313
Ella Fitzgerald,Newport News,United States,1917,Female,SINGER,MUSIC,ARTS,12017056,592878.8366,5990365,200284.2667
Sienna Miller,New York,United States,1981,Female,ACTOR,FILM AND THEATRE,ARTS,11996348,66322.30553,7176486,315693.3684
Prince Harry of Wales,London,UNITED KINGDOM,1984,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,11975850,284894.4402,8513850,260344.5652
Abigail Breslin,New York,UNITED STATES,1996,Female,ACTOR,FILM AND THEATRE,ARTS,11957744,71431.08196,7302847,323182.2703
Dr. Seuss,Springfield,UNITED STATES,1904,Male,WRITER,LANGUAGE,HUMANITIES,11942366,126113.2669,10323156,398078.8667
Patrick Stewart,Mirfield,UNITED KINGDOM,1940,Male,ACTOR,FILM AND THEATRE,ARTS,11934358,84961.71786,9066266,284151.381
Jennifer Hudson,Chicago,UNITED STATES,1981,Female,ACTOR,FILM AND THEATRE,ARTS,11905900,121264.8438,8570124,305279.4872
Carlos Tévez,Buenos Aires,ARGENTINA,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,11898406,85491.9869,5069865,208743.9649
