full_name,nickname,gender,type,state,senate_class,party,,,,,,,,,,,,,,,,,,,,,,,,,
John B. Larson,,M,rep,CT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,John B. Larson,
Robert E. Latta,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick J. Leahy,,M,sen,VT,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Lee,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Lee,,M,sen,UT,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John Lewis,,M,rep,GA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Lipinski,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
David Loebsack,,M,rep,IA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe Lofgren,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Zoe Lofgren,
Billy Long,,M,rep,MO,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Nita M. Lowey,,F,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Frank D. Lucas,,M,rep,OK,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Blaine Luetkemeyer,,M,rep,MO,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Ray Luján,,M,rep,NM,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Ben Ray Luján,
Stephen F. Lynch,,M,rep,MA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn B. Maloney,,F,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Marchant,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Edward J. Markey,Ed,M,sen,MA,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Doris O. Matsui,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Doris Matsui,
Kevin McCarthy,,M,rep,CA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,Kevin McCarthy (California politician),
Michael T. McCaul,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Tom McClintock,,M,rep,CA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Betty McCollum,,F,rep,MN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
James P. McGovern,Jim,M,rep,MA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick T. McHenry,,M,rep,NC,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
David B. McKinley,,M,rep,WV,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy McMorris Rodgers,,F,rep,WA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry McNerney,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory W. Meeks,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen Moore,,F,rep,WI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Moran,,M,sen,KS,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa Murkowski,,F,sen,AK,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Murphy,,M,sen,CT,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Patty Murray,,F,sen,WA,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jerrold Nadler,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Grace F. Napolitano,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Richard E. Neal,,M,rep,MA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Richard Neal,
Eleanor Holmes Norton,,F,rep,DC,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Eleanor Holmes Norton,
Devin Nunes,,M,rep,CA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Olson,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Steven M. Palazzo,,M,rep,MS,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"Frank Pallone, Jr.",,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
"Bill Pascrell, Jr.",,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,,M,sen,KY,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy Pelosi,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Perlmutter,,M,rep,CO,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Ed Perlmutter,
Gary C. Peters,,M,sen,MI,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Collin C. Peterson,,M,rep,MN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Chellie Pingree,,F,rep,ME,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Chellie Pingree,
Rob Portman,Rob,M,sen,OH,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Posey,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
David E. Price,,M,rep,NC,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,David Price (American politician),
Mike Quigley,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Mike Quigley (politician),
Tom Reed,,M,rep,NY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric L. Richmond,,M,rep,LA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
